일자,계(명),남성(명),여성(명),,,,,
2020-01-20,1,1,1,,,,,
2020-01-21,0,0,0,,,,,
2020-01-22,0,0,0,,,,,
2020-01-23,0,0,0,,,,,
2020-01-24,1,1,0,,,,,
2020-01-25,0,0,0,,,,,
2020-01-26,1,1,0,,,,,DF
2020-01-27,1,1,0,,,,,
2020-01-28,0,0,0,,,,,
2020-01-29,0,0,0,,,,,
2020-01-30,3,3,0,,,,,
2020-01-31,4,1,3,,,,,
2020-02-01,1,1,0,,,,,
2020-02-02,3,2,1,,,,,
2020-02-03,0,0,0,,,,,
2020-02-04,1,0,1,,,,,
2020-02-05,5,2,3,,,,,
2020-02-06,3,2,1,,,,,
2020-02-07,0,0,0,,,,,
2020-02-08,0,0,0,,,,,
2020-02-09,3,1,2,,,,,
2020-02-10,1,0,1,,,,,
2020-02-11,0,0,0,,,,,
2020-02-12,0,0,0,,,,,
2020-02-13,0,0,0,,,,,
2020-02-14,0,0,0,,,,,
2020-02-15,0,0,0,,,,,
2020-02-16,2,1,1,,,,,
2020-02-17,0,0,0,,,,,
